AB256496	050204Pt.3#469
AB256498	040611Pt.4#91
AB256500	040916Pt.4#41
AB256501	041126Pt.4#53
AB256499	040611Pt.4#144
AB256502	041126Pt.4#81
AB256503	041126Pt.4#108
AB256505	041126Pt.4#169
AB256504	041126Pt.4#139-2
AB256506	041126Pt.4#183
AB256508	041224Pt.5#138
AB256507	041119Pt.5#119-1
AB256509	050218Pt.6#77
AB256510	050218Pt.6#180
AB256511	051019Pt.7#39
AB256512	051019Pt.7#148
